Focal;Date;Time;Approach.mother.offspring;Whimper.or.scream;Sex;Age.z;Group;Party.size.adult.z
SM1;09/02/2022;07:39:07;0;0;M;-1,431469438;SUD;-1,022531473
SM1;09/02/2022;10:57:36;0;1;M;-1,431469438;SUD;-1,296527383
SM1;28/03/2022;07:47:55;0;0;M;-1,392136113;SUD;0,073452166
SM1;21/04/2022;12:25:37;1;1;M;-1,352802787;SUD;0,347448076
SM1;22/04/2022;06:55:13;0;0;M;-1,352802787;SUD;0,073452166
SM1;22/04/2022;06:57:19;0;0;M;-1,352802787;SUD;0,347448076
SM1;22/04/2022;08:46:35;1;0;M;-1,352802787;SUD;-0,474539653
SM1;22/04/2022;09:17:42;0;1;M;-1,352802787;SUD;-0,200543744
SM1;06/06/2022;11:17:38;0;1;M;-1,274136136;SUD;-1,296527383
SM1;06/06/2022;12:12:15;0;0;M;-1,274136136;SUD;-1,296527383
SM1;06/06/2022;13:06:16;0;0;M;-1,274136136;SUD;-1,296527383
SM1;06/06/2022;14:03:37;1;1;M;-1,274136136;SUD;-1,022531473
SM1;02/07/2022;08:21:25;1;0;M;-1,234802811;SUD;2,265419445
SM1;16/09/2022;15:17:37;1;1;M;-1,15613616;SUD;0,347448076
SM1;17/09/2022;13:01:39;1;1;M;-1,15613616;SUD;0,621443986
SM1;19/09/2022;11:41:02;0;0;M;-1,15613616;SUD;-0,474539653
SM1;19/09/2022;14:48:36;1;0;M;-1,15613616;SUD;-1,570523293
SM1;19/09/2022;16:14:48;1;0;M;-1,15613616;SUD;-1,022531473
SM1;17/11/2022;07:52:38;1;0;M;-1,077469509;SUD;-0,474539653
SM1;17/11/2022;07:54:49;1;1;M;-1,077469509;SUD;-0,474539653
SM1;20/11/2022;16:19:19;1;0;M;-1,077469509;SUD;2,265419445
SM1;20/11/2022;17:22:00;1;1;M;-1,077469509;SUD;0,073452166
SM1;21/11/2022;11:36:03;1;1;M;-1,077469509;SUD;-1,570523293
SF2;21/04/2022;11:34:55;1;0;F;0,338530209;SUD;-1,296527383
SF2;21/04/2022;12:25:52;0;0;F;0,338530209;SUD;0,073452166
SF2;21/04/2022;13:41:05;0;0;F;0,338530209;SUD;0,347448076
SF2;21/04/2022;14:30:39;0;0;F;0,338530209;SUD;-1,022531473
SF2;06/06/2022;14:57:54;0;1;F;0,41719686;SUD;1,443431715
SF2;06/06/2022;15:06:44;0;0;F;0,41719686;SUD;1,443431715
SF2;06/06/2022;15:07:49;0;0;F;0,41719686;SUD;1,443431715
SF2;06/06/2022;15:13:20;0;0;F;0,41719686;SUD;0,073452166
SF2;06/06/2022;15:18:23;1;0;F;0,41719686;SUD;0,347448076
SF2;06/06/2022;15:24:42;0;0;F;0,41719686;SUD;0,347448076
SF2;06/06/2022;15:32:47;0;1;F;0,41719686;SUD;-0,200543744
SF2;06/06/2022;15:56:27;0;1;F;0,41719686;SUD;-0,474539653
SF2;06/06/2022;16:00:10;0;0;F;0,41719686;SUD;-0,474539653
SF2;02/07/2022;15:56:38;0;1;F;0,456530185;SUD;-1,570523293
SF2;24/12/2022;12:39:13;0;1;F;0,653196813;SUD;-0,200543744
SF2;26/12/2022;09:59:37;0;1;F;0,653196813;SUD;0,347448076
SF2;28/12/2022;09:27:57;1;0;F;0,653196813;SUD;-1,022531473
SF2;29/12/2022;08:07:44;1;0;F;0,653196813;SUD;2,539415355
SF2;29/12/2022;08:29:54;0;1;F;0,653196813;SUD;2,265419445
SF2;29/12/2022;13:20:01;0;0;F;0,653196813;SUD;1,169435806
SF2;29/12/2022;13:24:18;1;1;F;0,653196813;SUD;1,169435806
SF2;29/12/2022;13:47:25;0;1;F;0,653196813;SUD;1,991423535
SF2;30/12/2022;11:31:33;1;1;F;0,653196813;SUD;1,717427625
SF2;31/12/2022;07:41:14;0;0;F;0,653196813;SUD;1,169435806
SF2;31/12/2022;09:39:04;0;0;F;0,653196813;SUD;0,895439896
SF2;31/12/2022;09:45:51;0;1;F;0,653196813;SUD;0,895439896
SF2;31/12/2022;09:50:18;0;1;F;0,653196813;SUD;0,895439896
SF2;31/12/2022;12:03:55;1;0;F;0,653196813;SUD;0,621443986
SF3;03/03/2022;16:26:31;0;0;F;-1,785469367;SUD;-1,296527383
SF3;03/03/2022;17:25:59;1;0;F;-1,785469367;SUD;-1,570523293
SF3;07/03/2022;09:42:30;1;0;F;-1,785469367;SUD;-1,570523293
SF3;07/03/2022;09:52:37;1;1;F;-1,785469367;SUD;-1,570523293
SF3;07/03/2022;10:31:52;0;1;F;-1,785469367;SUD;-1,570523293
SF3;19/04/2022;09:47:26;1;0;F;-1,746136042;SUD;-1,296527383
SF3;19/04/2022;13:53:58;1;1;F;-1,746136042;SUD;0,073452166
SF3;19/04/2022;14:15:19;1;0;F;-1,746136042;SUD;0,073452166
SF3;19/04/2022;14:51:58;0;0;F;-1,746136042;SUD;-1,296527383
SF3;29/04/2022;06:58:59;0;0;F;-1,746136042;SUD;-0,474539653
SF3;29/04/2022;10:08:42;0;0;F;-1,746136042;SUD;1,443431715
SF3;29/04/2022;10:13:33;1;1;F;-1,746136042;SUD;1,443431715
SF3;29/04/2022;11:24:32;0;0;F;-1,746136042;SUD;1,443431715
SF3;08/05/2022;13:14:42;0;0;F;-1,706802716;SUD;-0,474539653
SF3;10/05/2022;11:46:28;0;1;F;-1,706802716;SUD;1,991423535
SF3;10/05/2022;11:52:36;1;0;F;-1,706802716;SUD;1,991423535
SM4;28/03/2022;12:01:26;1;0;M;-1,746136042;SUD;-1,296527383
SM4;06/04/2022;09:49:36;0;0;M;-1,706802716;SUD;-0,200543744
SM4;08/06/2022;07:01:58;0;0;M;-1,628136065;SUD;-0,748535563
SM4;08/06/2022;11:02:48;0;0;M;-1,628136065;SUD;-0,748535563
SM4;11/08/2022;12:46:24;0;1;M;-1,549469414;SUD;-1,022531473
SM4;26/08/2022;06:46:07;0;0;M;-1,549469414;SUD;0,621443986
SM4;04/09/2022;15:24:39;0;0;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;07:43:00;1;1;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;07:51:12;1;1;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;13:02:07;0;0;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;13:09:56;1;0;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;13:17:16;1;1;M;-1,510136089;SUD;0,621443986
SM4;12/09/2022;15:16:34;0;0;M;-1,510136089;SUD;0,895439896
EM5;01/03/2022;08:51:05;0;0;M;-0,684136254;EST;-1,570523293
