Mother;Offspring;MO.ag;Rate;Contact;Percentage
SF49;SM28;MO non contact;0,1;non contact;56,25
EF50;EM70;MO non contact;0,057971014;non contact;52,17391304
NF40;NM17;MO non contact;0,030769231;non contact;29,23076923
SF31;SF51;MO non contact;0,033707865;non contact;16,47940075
SF79;SM65;MO contact;0,008849558;contact;14,45427729
SF31;SF2;MO contact;0,027027027;contact;13,21321321
SF31;SF2;MO non contact;0,027027027;non contact;13,21321321
EF50;EM70;MO contact;0,014492754;contact;13,04347826
SF39;SM11;MO contact;0,016666667;contact;11,66666667
SF81;SF66;MO contact;0,022727273;contact;11,64772727
SF47;SM68;MO contact;0,010204082;contact;8,333333333
SF47;SM68;MO non contact;0,010204082;non contact;8,333333333
NF40;NM17;MO contact;0,007692308;contact;7,307692308
NF80;NF64;MO non contact;0,011627907;non contact;6,686046512
SF44;SM24;MO non contact;0,00729927;non contact;6,277372263
EF36;EM54;MO contact;0,017241379;contact;5,747126437
EF36;EM54;MO non contact;0,017241379;non contact;5,747126437
SF31;SF51;MO contact;0,011235955;contact;5,493133583
SF33;SF14;MO non contact;0,007042254;non contact;5,164319249
EF36;EF7;MO non contact;0,014285714;non contact;4,761904762
SF49;SF29;MO contact;0,006944444;contact;3,90625
EF43;EM20;MO non contact;0,014084507;non contact;3,118712274
EF38;EM56;MO contact;0,015151515;contact;2,852049911
EF43;EF21;MO contact;0,007352941;contact;1,628151261
EF43;EF21;MO non contact;0,007352941;non contact;1,628151261
SF31;SM1;MO contact;0;contact;0
SF31;SM1;MO non contact;0;non contact;0
SF31;SF51;OM contact;0;contact;0
SF31;SM1;OM contact;0;contact;0
SF31;SF2;OM contact;0;contact;0
SF31;SF51;OM non contact;0;non contact;0
SF31;SM1;OM non contact;0;non contact;0
SF31;SF2;OM non contact;0;non contact;0
EF36;EF7;MO contact;0;contact;0
EF36;EM54;OM contact;0;contact;0
EF36;EF7;OM contact;0;contact;0
EF36;EM54;OM non contact;0;non contact;0
EF36;EF7;OM non contact;0;non contact;0
EF38;EM9;MO contact;0;contact;0
EF38;EM10;MO contact;0;contact;0
EF38;EM9;MO non contact;0;non contact;0
EF38;EM56;MO non contact;0;non contact;0
EF38;EM10;MO non contact;0;non contact;0
EF38;EM9;OM contact;0;contact;0
EF38;EM56;OM contact;0;contact;0
EF38;EM10;OM contact;0;contact;0
EF38;EM9;OM non contact;0;non contact;0
EF38;EM56;OM non contact;0;non contact;0
EF38;EM10;OM non contact;0;non contact;0
SF73;SM55;MO contact;0;contact;0
SF73;SM55;MO non contact;0;non contact;0
SF73;SM55;OM contact;0;contact;0
SF73;SM55;OM non contact;0;non contact;0
SF39;SM11;MO non contact;0;non contact;0
SF39;SM11;OM contact;0;contact;0
SF39;SM11;OM non contact;0;non contact;0
SF33;SM4;MO contact;0;contact;0
SF33;SF13;MO contact;0;contact;0
SF33;SF14;MO contact;0;contact;0
SF33;SM4;MO non contact;0;non contact;0
SF33;SF13;MO non contact;0;non contact;0
SF33;SM4;OM contact;0;contact;0
SF33;SF13;OM contact;0;contact;0
