"";"Focal";"mean.distance.date";"Group";"Sex";"attachment.type";"Age.z";"rank.z";"party.size.z";"percentage.oestrus.z";"Age.mother.year.z"
"1";"SM1";3,381669892;"SUD";"M";1;-1,692620112;-0,646067593;0,598732362;1,331819517;-0,236203291
"2";"SM1";1,430154466;"SUD";"M";1;-1,692620112;-0,646067593;-0,119470241;0,444184028;-0,236203291
"3";"SM1";0,991935484;"SUD";"M";1;-1,629796239;-0,646067593;2,394238868;-0,987764977;-0,236203291
"4";"SM1";3;"SUD";"M";1;-1,629796239;-0,646067593;-1,017223493;-0,987764977;-0,236203291
"5";"SM1";2,782302911;"SUD";"M";1;-1,566972367;-0,646067593;-0,837672843;-0,987764977;-0,236203291
"6";"SM1";2,62244898;"SUD";"M";1;-1,504148494;-0,646067593;-0,478571542;-0,648721286;-0,236203291
"7";"SM1";0,612164107;"SUD";"M";1;-1,378500748;-0,51229523;2,394238868;1,321605763;-0,082286359
"8";"SM1";2,266861219;"SUD";"M";1;-1,378500748;-1,555719661;-0,299020891;0,340054241;-0,082286359
"9";"SM1";1,799234719;"SUD";"M";1;-1,378500748;-0,51229523;-0,119470241;1,071409069;-0,082286359
"10";"SM1";5,616735313;"SUD";"M";1;-1,378500748;-0,51229523;0,06008041;1,252663071;-0,082286359
"11";"SM1";7,5;"SUD";"M";1;-1,378500748;-0,51229523;-0,478571542;-0,769808168;-0,082286359
"12";"SM1";2,536770007;"SUD";"M";1;-1,252853002;-0,51229523;-0,658122192;-0,738374802;-0,082286359
"13";"SM1";2,994743166;"SUD";"M";1;-1,252853002;-0,51229523;2,035137566;-0,987764977;-0,082286359
"14";"SM1";8,804714533;"SUD";"M";1;-1,252853002;-0,51229523;-1,017223493;-0,267047884;-0,082286359
"15";"SM1";3,683969186;"SUD";"M";1;-1,127205257;-0,51229523;1,676036265;1,389464345;-0,082286359
"16";"SM1";3,437285223;"SUD";"M";1;-1,127205257;-0,860103373;0,06008041;0,639521491;-0,082286359
"17";"SM1";8,004611331;"SUD";"M";1;-1,127205257;-0,51229523;1,855586916;1,139659665;-0,082286359
"18";"SM1";4,311621472;"SUD";"M";1;-1,064381384;-0,51229523;1,137384313;1,038690233;-0,082286359
"19";"SM1";3,22921774;"SUD";"M";1;-1,064381384;-0,51229523;0,06008041;-0,216345465;-0,082286359
"20";"SM1";5,320848109;"SUD";"M";1;-1,001557511;-0,51229523;-0,478571542;-0,74285132;-0,082286359
"21";"SM1";7,509440381;"SUD";"M";1;-1,001557511;-0,51229523;0,598732362;0,260596484;-0,082286359
"22";"EM5";11,05905077;"EST";"M";1;-0,687438147;0,729876713;-0,299020891;-0,987764977;1,764716815
"23";"EM5";7,475523013;"EST";"M";1;-0,624614274;0,35722513;-1,555875445;-0,987764977;1,764716815
"24";"EM5";5,231274274;"EST";"M";1;-0,624614274;0,35722513;0,598732362;0,357500234;1,764716815
