Focal;Date;Day;Month;Year;Time;Not.reacting;Approaching.mother;Looking.towards.mother;Whimpering;Climbing.up.a.tree;Screaming;Running.away;Attacking.or.arm.waving;Approaching.another.individual;Sex;Party.size.adult.z;older.siblings.presence;Group;Age.z
SM1;21/04/2022;21;4;2022;12:25:37;0;0;0;1;1;0;0;0;0;M;0,016111081;Yes;SUD;-1,33726412
SM1;02/07/2022;2;7;2022;07:41:42;1;0;0;0;0;0;0;0;0;M;1,445319904;Yes;SUD;-1,237436685
SM1;28/03/2022;28;3;2022;07:47:55;1;0;0;0;0;0;0;0;0;M;-0,269730683;Yes;SUD;-1,370539931
SM1;19/09/2022;19;9;2022;16:14:48;0;1;1;0;0;0;0;0;0;M;-1,413097741;Yes;SUD;-1,170885061
SM1;22/04/2022;22;4;2022;06:57:19;1;0;0;0;0;0;0;0;0;M;0,016111081;Yes;SUD;-1,33726412
SM1;19/09/2022;19;9;2022;14:48:36;0;1;1;0;0;0;0;0;0;M;-1,98478127;Yes;SUD;-1,170885061
SM1;22/04/2022;22;4;2022;08:46:35;0;1;0;0;0;0;0;0;0;M;-0,841414212;Yes;SUD;-1,33726412
SM1;02/02/2023;2;2;2023;07:46:54;0;1;0;0;0;0;0;0;0;M;1,445319904;Yes;SUD;-1,004506003
SM1;22/04/2022;22;4;2022;06:55:13;1;0;0;0;0;0;0;0;0;M;-0,269730683;Yes;SUD;-1,33726412
SM1;09/02/2022;9;2;2022;07:39:07;1;0;0;0;0;0;0;0;0;M;-1,413097741;Yes;SUD;-1,403815743
SM1;19/09/2022;19;9;2022;11:41:02;1;0;0;0;0;0;0;0;0;M;-0,841414212;Yes;SUD;-1,170885061
SM1;02/02/2023;2;2;2023;07:46:54;0;1;0;0;0;0;0;0;0;M;1,445319904;Yes;SUD;-1,004506003
SM1;02/07/2022;2;7;2022;08:21:25;0;1;1;0;0;0;0;0;0;M;2,017003433;Yes;SUD;-1,237436685
SM1;21/11/2022;21;11;2022;11:36:03;0;1;1;1;0;0;0;0;0;M;-1,98478127;Yes;SUD;-1,104333438
SM1;20/11/2022;20;11;2022;17:22:00;0;1;1;1;0;0;0;0;0;M;-0,269730683;Yes;SUD;-1,104333438
SF2;21/04/2022;21;4;2022;12:25:52;0;0;1;0;1;0;0;0;0;F;-0,269730683;Yes;SUD;0,093595783
SF2;21/04/2022;21;4;2022;13:41:05;0;0;0;0;1;0;0;0;0;F;0,016111081;Yes;SUD;0,093595783
SF2;06/06/2022;6;6;2022;15:07:49;1;0;0;0;0;0;0;0;0;F;1,159478139;Yes;SUD;0,160147406
SF2;06/06/2022;6;6;2022;16:00:10;1;0;0;0;0;0;0;0;0;F;-0,841414212;Yes;SUD;0,160147406
SF2;06/06/2022;6;6;2022;15:18:23;0;1;0;0;0;0;0;0;0;F;0,016111081;Yes;SUD;0,160147406
SF2;06/06/2022;6;6;2022;15:13:20;1;0;0;0;0;0;0;0;0;F;-0,269730683;Yes;SUD;0,160147406
SF2;06/06/2022;6;6;2022;15:06:44;1;0;0;0;0;0;0;0;0;F;1,159478139;Yes;SUD;0,160147406
SF2;21/04/2022;21;4;2022;11:34:55;0;1;0;0;0;0;0;0;0;F;-1,698939506;Yes;SUD;0,093595783
SF2;31/12/2022;31;12;2022;12:03:55;0;1;0;0;0;0;0;0;0;F;0,301952846;Yes;SUD;0,359802277
SF2;31/12/2022;31;12;2022;09:39:04;0;0;1;0;1;0;0;0;0;F;0,58779461;Yes;SUD;0,359802277
SF2;02/02/2023;2;2;2023;15:27:19;0;0;0;0;0;0;0;0;1;F;1,731161668;Yes;SUD;0,4263539
SF2;29/12/2022;29;12;2022;08:07:44;0;1;1;0;0;0;0;0;0;F;2,302845197;Yes;SUD;0,359802277
SF2;06/06/2022;6;6;2022;15:24:42;0;0;1;0;1;0;0;0;0;F;0,016111081;Yes;SUD;0,160147406
SF2;31/12/2022;31;12;2022;07:41:14;0;0;0;0;1;0;0;0;0;F;0,873636375;Yes;SUD;0,359802277
SF2;02/02/2023;2;2;2023;15:27:19;0;0;0;0;0;0;0;0;1;F;1,731161668;Yes;SUD;0,4263539
SF2;06/06/2022;6;6;2022;15:22:58;0;0;1;0;1;0;0;0;0;F;0,016111081;Yes;SUD;0,160147406
SF3;07/03/2022;7;3;2022;10:31:52;0;0;0;1;0;0;0;0;0;F;-1,98478127;Yes;SUD;-1,703298048
SF3;19/04/2022;19;4;2022;12:18:10;1;0;0;0;0;0;0;0;0;F;-1,127255977;Yes;SUD;-1,670022237
SF3;29/04/2022;29;4;2022;10:08:42;0;0;1;0;0;0;0;0;0;F;1,159478139;Yes;SUD;-1,670022237
SF3;16/05/2022;16;5;2022;15:07:17;1;0;0;0;0;0;0;0;0;F;-1,98478127;Yes;SUD;-1,636746425
SF3;09/01/2023;9;1;2023;07:42:40;0;1;1;0;0;0;0;0;0;F;0,016111081;Yes;SUD;-1,370539931
SF3;28/01/2023;28;1;2023;10:55:46;0;1;0;0;0;0;0;0;0;F;0,301952846;Yes;SUD;-1,370539931
SF3;19/04/2022;19;4;2022;14:15:19;0;1;1;0;0;0;0;0;0;F;-0,269730683;Yes;SUD;-1,670022237
SF3;19/04/2022;19;4;2022;14:51:58;0;0;1;0;0;0;0;0;0;F;-1,698939506;Yes;SUD;-1,670022237
SF3;28/01/2023;28;1;2023;10:37:14;0;1;1;0;0;0;0;0;0;F;0,301952846;Yes;SUD;-1,370539931
SF3;29/04/2022;29;4;2022;07:05:56;1;0;0;0;0;0;0;0;0;F;-0,555572448;Yes;SUD;-1,670022237
SF3;28/01/2023;28;1;2023;10:37:14;0;1;1;0;0;0;0;0;0;F;0,301952846;Yes;SUD;-1,370539931
SF3;28/01/2023;28;1;2023;10:55:46;0;1;0;0;0;0;0;0;0;F;0,301952846;Yes;SUD;-1,370539931
SF3;29/04/2022;29;4;2022;11:24:32;1;0;0;0;0;0;0;0;0;F;1,159478139;Yes;SUD;-1,670022237
SF3;08/05/2022;8;5;2022;13:14:42;0;0;1;0;0;0;0;0;0;F;-0,841414212;Yes;SUD;-1,636746425
SF3;10/05/2022;10;5;2022;11:52:36;0;1;1;0;0;0;0;0;0;F;1,731161668;Yes;SUD;-1,636746425
SF3;28/01/2023;28;1;2023;09:29:19;0;1;0;0;0;0;0;0;0;F;0,873636375;Yes;SUD;-1,370539931
SF3;28/01/2023;28;1;2023;09:30:20;0;1;1;0;0;0;0;0;0;F;0,873636375;Yes;SUD;-1,370539931
SF3;19/04/2022;19;4;2022;09:47:26;0;1;0;0;0;0;0;0;0;F;-1,698939506;Yes;SUD;-1,670022237
SF3;09/01/2023;9;1;2023;07:42:40;0;1;1;0;0;0;0;0;0;F;0,016111081;Yes;SUD;-1,370539931
SF3;17/01/2023;17;1;2023;09:03:54;0;1;1;0;0;0;0;0;0;F;0,58779461;Yes;SUD;-1,370539931
SF3;17/01/2023;17;1;2023;09:07:15;0;1;1;0;0;0;0;0;0;F;1,159478139;Yes;SUD;-1,370539931
SF3;17/01/2023;17;1;2023;09:03:54;0;1;1;0;0;0;0;0;0;F;0,58779461;Yes;SUD;-1,370539931
SF3;17/01/2023;17;1;2023;09:07:15;0;1;1;0;0;0;0;0;0;F;1,159478139;Yes;SUD;-1,370539931
SF3;29/04/2022;29;4;2022;06:58:59;1;0;0;0;0;0;0;0;0;F;-0,841414212;Yes;SUD;-1,670022237
SF3;03/03/2022;3;3;2022;16:26:31;1;0;0;0;0;0;0;0;0;F;-1,698939506;Yes;SUD;-1,703298048
