Focal;Not.reacting;Looking.towards.mother;Approaching.mother;Approaching.another.individual;Running.away;Climbing.up.a.tree;Whimpering;Screaming;Attacking.or.arm.waving
SM1;0,02034181;-0,088002689;0,250838577;0,597704941;-0,153247325;0,335711476;0,095954806;-0,068663586;-0,1598841
EM5;0,612405035;-0,395662377;-0,338751786;1,462338714;-0,194201655;-0,32121691;-0,126379295;-0,07972393;-0,081823579
SF6;0,299284423;-0,319575417;-0,936480841;0,833324655;0,792616744;1,306988854;-0,077373957;-0,128291635;-0,169794057
EF7;0,125688831;-0,098646262;-0,189787911;-0,433545483;-0,185290762;-0,280050878;0,013204892;-0,035437678;-0,125436404
SM8;-0,814240549;0,184410171;1,060650616;-0,400457923;-0,147442927;-0,209095249;0,130428152;-0,053618828;-0,08848405
EM9;-1,314402779;0,540360591;3,390642562;-0,264173128;-0,322686978;-0,617989668;-0,049136639;-0,095782317;-0,186813188
EM10;-0,143756859;0,58487033;1,918251567;-0,354817563;-0,359651616;-0,738508246;-0,067290438;-0,11465404;-0,231854773
NM15;-0,964790267;0,458143946;1,443825412;-0,294993962;-0,102412151;-0,339949214;0,129889423;-0,042715135;-0,114398069
NM16;0,327205786;-0,221895152;0,200951561;-0,297178187;0,364268109;0,224123503;-0,073087708;0,44455374;-0,15264082
SM19;0,20576608;0,041204368;0,346613601;-0,17787551;-0,332422299;0,148839096;-0,034360417;-0,098203544;-0,194263084
EM20;0,555042641;-0,094874361;-1,277496575;-0,340473731;0,402078789;-0,916466014;0,125204977;0,467420947;-0,074066732
SM22;-0,624367864;0,297656293;1,157050927;1,23345625;-0,083739044;-0,268279193;0,17863801;-0,061472262;-0,040731649
NF23;0,002730962;0,048591867;0,750223816;-0,409752686;-0,145555203;-0,238662563;-0,114991148;-0,058626702;-0,114273981
SM25;-0,117726933;-0,216022435;-0,617261347;-0,224132806;-0,220284116;1,148229585;-0,039793544;-0,075894575;1,64244834
SM26;0,548700513;-0,003855471;-0,752502357;-0,270275582;0,558824191;-0,311821684;-0,10595523;-0,066171142;-0,080362707
SF27;0,019945427;0,116885079;0,755457147;-0,6293197;-0,339954281;-0,698881009;-0,060060283;-0,138506499;-0,20709764
SM28;0,172975418;-0,24459784;-0,903066873;-0,420079641;-0,282669368;0,783815411;-0,151504991;-0,170592821;-0,092334368
EM30;0,969515283;-0,426906437;-1,389001974;-0,15335259;-0,155530757;0,109792702;-0,051195385;-0,027921795;0,002867199
